"Qty";"Value";"Device";"Package";"Parts";"Description";"CAP-TYPE";"MNT";"PROD_ID";"VALUE";
"2";"0";"R0603";"0603";"R20, R21";"";"";"";"";"";
"1";"0.1uF";"C0603";"0603";"C8";"";"";"";"";"";
"2";"10uF";"C-POL-T";"0603-POL";"C3, C4";"";"TANTALUM";"";"";"";
"2";"10uF";"C0603";"0603";"C1, C2";"";"";"";"";"";
"1";"121";"R0603";"0603";"R2";"";"";"";"";"";
"18";"1k";"R0603";"0603";"R1, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R22";"";"";"";"";"";
"1";"365";"R0603";"0603";"R3";"";"";"";"";"";
"9";"BLUE";"LED-STD";"0603";"ADI, P1I1, P1I2, P1I3, P2I1, P2I2, P2I3, P2RX, XDI";"";"";"";"";"";
"1";"BOB-09118";"BOB-09118";"DIL08-0.1P-6W";"U2";"";"";"";"";"";
"1";"ControlV";"SINGLE-LINEA";"PJ-037A";"J4";"4UCON Part Num: 18742";"";"";"";"";
"1";"GREEN";"LED-STD";"0603";"ASSOC";"";"";"";"";"";
"1";"LM1084";"LM1084";"TO-220";"VR1";"";"";"";"";"";
"1";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"U4";"V_REG MIC5219";"";"";"VREG-09872";"MIC5219 3.3V";
"1";"MotorV";"SINGLE-LINE-TR";"PJ-002BH-SMT";"J3";"4UCON Part Num: 18742";"";"";"";"";
"2";"PROP-MINI";"PROP-MINI";"PROP-MINI";"P1, P2";"";"";"";"";"";
"1";"PropRST";"SWITCH-MOMENTARY-2SMD-2";"TACTILE_SWITCH_SMD-2";"S2";"Various NO switches- pushbuttons, reed, etc";"";"";"SWCH-09213";"";
"7";"RED";"LED-STD";"0603";"ADO, P1PWR, P2PWR, P2TX, SIG-CONN, XBEE-PWR, XDO";"";"";"";"";"";
"1";"SJ1-42535TS";"SJ1-42535TS";"SJ1-42534-SMT";"J5";"";"";"SMT";"";"";
"1";"TLC2543IN";"TLC2543IN";"DIL-20";"U1";"";"";"";"";"";
"1";"XBEE-RST";"SWITCH-MOMENTARY-2SMD-2";"TACTILE_SWITCH_SMD-2";"S1";"Various NO switches- pushbuttons, reed, etc";"";"";"SWCH-09213";"";
"1";"XBEE-WIFI";"XBEE-WIFI";"XBEE-STD";"U$19";"";"";"";"";"";
"1";"YELLOW";"LED-STD";"0603";"RSSI";"";"";"";"";"";
